OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ProjectName,ActivityConductingOrganizationText,MonitoringLocationIdentifier,MonitoringLocationName,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,ResultIdentifier,ResultDetectionConditionText,MethodSpeciationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,DataQuality/PrecisionValue,DataQuality/BiasValue,DataQuality/ConfidenceIntervalValue,DataQuality/UpperConfidenceLimitValue,DataQuality/LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,BinaryObjectFileName,BinaryObjectFileTypeCode,ResultFileUrl,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,ResultDetectionQuantitationLimitUrl,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,LabSamplePreparationUrl,LastUpdated,ProviderName,activity_date,year,month,location_order,location_name
21NDHDWQ_WQX,North Dakota Department Of Environmental Quality,21NDHDWQ_WQX-2013-7863P,Field Msr/Obs,Water,NA,8/16/2013,7:35:00,CST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RLWQLS,Lake Sakakawea Monitoring Project,NA,21NDHDWQ_WQX-382003,Lake Sakakawea,NA,NA,NA,NA,47.55195,-101.515,SOP7.02,21NDHDWQ_WQX,"SOP For Taking Field Measurements in Streams, Rivers, Lakes, Wetlands Using Hand Held Meter(s)",NA,Probe/Sensor,STORET-469507074,NA,NA,Specific conductance,NA,779,uS/cm,NA,Final,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-09-17T10:39:36Z,STORET,8/16/2013,2013,8,21NDHDWQ_WQX-382003,Lake Sakakawea
21NDHDWQ_WQX,North Dakota Department Of Environmental Quality,21NDHDWQ_WQX-13-R1573,Sample-Routine,Water,NA,7/8/2013,9:18:00,CST,NA,NA,NA,NA,1,m,NA,NA,NA,NA,NA,RLASH,Lake Ashtabula Water Quality Monitoring,NA,21NDHDWQ_WQX-381171,Lake Ashtabula,NA,NA,NA,NA,47.03622,-98.07417,SOP7.04,21NDHDWQ_WQX,SOP For The Collection And Preservation Of Lake Or Non-Wadable Wetland Water Column Samples For Chemical Analysis.,NA,Kemmerer Bottle,STORET-292700491,NA,NA,Total dissolved solids,Total,755,mg/L,NA,Final,NA,Calculated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2540-C,APHA,2540 C ~ Total Dissolved Solids in Water,NA,https://www.nemi.gov/methods/method_summary/9818/,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-17T13:39:19Z,STORET,7/8/2013,2013,7,21NDHDWQ_WQX-381171,Lake Ashtabula
21NDHDWQ_WQX,North Dakota Department Of Environmental Quality,21NDHDWQ_WQX-13-R2319,Sample-Routine,Water,NA,8/19/2013,11:30:00,CST,NA,NA,NA,NA,11,m,NA,NA,NA,NA,NA,RLASH,Lake Ashtabula Water Quality Monitoring,NA,21NDHDWQ_WQX-381171,Lake Ashtabula,NA,NA,NA,NA,47.03622,-98.07417,SOP7.04,21NDHDWQ_WQX,SOP For The Collection And Preservation Of Lake Or Non-Wadable Wetland Water Column Samples For Chemical Analysis.,NA,Kemmerer Bottle,STORET-292719488,NA,NA,Sulfate,Dissolved,575,mg/L,NA,Final,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4500-SO4(B),APHA,4500 SO4 B  ~ Sulfate in Water by Ion Chromatography,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-17T13:50:58Z,STORET,8/19/2013,2013,8,21NDHDWQ_WQX-381171,Lake Ashtabula
21NDHDWQ_WQX,North Dakota Department Of Environmental Quality,21NDHDWQ_WQX-2013-8371P,Field Msr/Obs,Water,NA,6/27/2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RLASH,Lake Ashtabula Water Quality Monitoring,NA,21NDHDWQ_WQX-381171,Lake Ashtabula,NA,NA,NA,NA,47.03622,-98.07417,SOP7.02,21NDHDWQ_WQX,"SOP For Taking Field Measurements in Streams, Rivers, Lakes, Wetlands Using Hand Held Meter(s)",NA,Probe/Sensor,STORET-670268041,NA,NA,Specific conductance,NA,947,uS/cm,NA,Final,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-10-06T15:07:18Z,STORET,6/27/2013,2013,6,21NDHDWQ_WQX-381171,Lake Ashtabula
21NDHDWQ_WQX,North Dakota Department Of Environmental Quality,21NDHDWQ_WQX-2013-8379P,Field Msr/Obs,Water,NA,7/22/2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RLASH,Lake Ashtabula Water Quality Monitoring,NA,21NDHDWQ_WQX-381171,Lake Ashtabula,NA,NA,NA,NA,47.03622,-98.07417,SOP7.02,21NDHDWQ_WQX,"SOP For Taking Field Measurements in Streams, Rivers, Lakes, Wetlands Using Hand Held Meter(s)",NA,Probe/Sensor,STORET-670268284,NA,NA,pH,NA,8.19,None,NA,Final,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-10-06T15:07:19Z,STORET,7/22/2013,2013,7,21NDHDWQ_WQX-381171,Lake Ashtabula
21NDHDWQ_WQX,North Dakota Department Of Environmental Quality,21NDHDWQ_WQX-2013-7876P,Field Msr/Obs,Water,NA,9/12/2013,11:45:00,CST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RLWQLS,Lake Sakakawea Monitoring Project,NA,21NDHDWQ_WQX-382003,Lake Sakakawea,NA,NA,NA,NA,47.55195,-101.515,SOP7.02,21NDHDWQ_WQX,"SOP For Taking Field Measurements in Streams, Rivers, Lakes, Wetlands Using Hand Held Meter(s)",NA,Probe/Sensor,STORET-469507268,NA,NA,Specific conductance,NA,773,uS/cm,NA,Final,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-09-17T10:39:37Z,STORET,9/12/2013,2013,9,21NDHDWQ_WQX-382003,Lake Sakakawea
21NDHDWQ_WQX,North Dakota Department Of Environmental Quality,21NDHDWQ_WQX-2013-7863P,Field Msr/Obs,Water,NA,8/16/2013,7:35:00,CST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RLWQLS,Lake Sakakawea Monitoring Project,NA,21NDHDWQ_WQX-382003,Lake Sakakawea,NA,NA,NA,NA,47.55195,-101.515,SOP7.02,21NDHDWQ_WQX,"SOP For Taking Field Measurements in Streams, Rivers, Lakes, Wetlands Using Hand Held Meter(s)",NA,Probe/Sensor,STORET-469506958,NA,NA,pH,NA,7.78,None,NA,Final,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-09-17T10:39:35Z,STORET,8/16/2013,2013,8,21NDHDWQ_WQX-382003,Lake Sakakawea
21NDHDWQ_WQX,North Dakota Department Of Environmental Quality,21NDHDWQ_WQX-13-R1455,Sample-Routine,Water,NA,6/27/2013,9:45:00,CST,NA,NA,NA,NA,1,m,NA,NA,NA,NA,NA,RLASH,Lake Ashtabula Water Quality Monitoring,NA,21NDHDWQ_WQX-381171,Lake Ashtabula,NA,NA,NA,NA,47.03622,-98.07417,SOP7.04,21NDHDWQ_WQX,SOP For The Collection And Preservation Of Lake Or Non-Wadable Wetland Water Column Samples For Chemical Analysis.,NA,Kemmerer Bottle,STORET-292691251,NA,NA,Magnesium,Total Recoverable,50.2,mg/L,NA,Final,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200.7,USEPA,Metals in Water by ICP-AES,NA,https://www.nemi.gov/methods/method_summary/4690/,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-17T13:33:55Z,STORET,6/27/2013,2013,6,21NDHDWQ_WQX-381171,Lake Ashtabula
21NDHDWQ_WQX,North Dakota Department Of Environmental Quality,21NDHDWQ_WQX-13-R1574,Sample-Routine,Water,NA,7/8/2013,9:45:00,CST,NA,NA,NA,NA,11,m,NA,NA,NA,NA,NA,RLASH,Lake Ashtabula Water Quality Monitoring,NA,21NDHDWQ_WQX-381171,Lake Ashtabula,NA,NA,NA,NA,47.03622,-98.07417,SOP7.04,21NDHDWQ_WQX,SOP For The Collection And Preservation Of Lake Or Non-Wadable Wetland Water Column Samples For Chemical Analysis.,NA,Kemmerer Bottle,STORET-292707988,NA,NA,Bicarbonate,Total,346,mg/L,NA,Final,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2320-B,APHA,2320 B ~ Alkalinity by Gran Titration,NA,https://www.nemi.gov/methods/method_summary/9694/,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-17T13:43:49Z,STORET,7/8/2013,2013,7,21NDHDWQ_WQX-381171,Lake Ashtabula
21NDHDWQ_WQX,North Dakota Department Of Environmental Quality,21NDHDWQ_WQX-13-R2761,Sample-Routine,Water,NA,9/17/2013,10:31:00,CST,NA,NA,NA,NA,1,m,NA,NA,NA,NA,NA,RLASH,Lake Ashtabula Water Quality Monitoring,NA,21NDHDWQ_WQX-381171,Lake Ashtabula,NA,NA,NA,NA,47.03622,-98.07417,SOP7.04,21NDHDWQ_WQX,SOP For The Collection And Preservation Of Lake Or Non-Wadable Wetland Water Column Samples For Chemical Analysis.,NA,Kemmerer Bottle,STORET-292711775,NA,NA,Sum of anions,Total,22.77,meq/L,NA,Final,NA,Calculated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300,USEPA,300.0 ~ EPA; Determination of Inorganic Anions by Ion Chromatography,NA,https://www.nemi.gov/methods/method_summary/4680/,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-17T13:46:13Z,STORET,9/17/2013,2013,9,21NDHDWQ_WQX-381171,Lake Ashtabula
